0 SameBib(0,0)
0 SameBib(0,1)
0 SameBib(0,2)
0 SameBib(0,3)
0.998064 SameBib(0,4)
1 SameBib(0,5)
1 SameBib(0,6)
1 SameBib(0,7)
0 SameBib(0,8)
2.66001e-22 SameBib(0,9)
0 SameBib(0,10)
3.24349e-27 SameBib(0,11)
1 SameBib(0,12)
0 SameBib(0,13)
0 SameBib(0,14)
1 SameBib(0,15)
7.82946e-34 SameBib(0,16)
1 SameBib(0,17)
0 SameBib(0,18)
0 SameBib(0,19)
1 SameBib(0,20)
2.07489e-50 SameBib(0,21)
0 SameBib(0,22)
0 SameBib(0,23)
8.37263e-29 SameBib(0,24)
8.42749e-47 SameBib(0,25)
0 SameBib(0,26)
0 SameBib(0,27)
1 SameBib(0,28)
3.37524e-76 SameBib(0,29)
1 SameBib(0,30)
2.48213e-19 SameBib(0,31)
1 SameBib(0,32)
2.05332e-23 SameBib(0,33)
0 SameBib(0,34)
0 SameBib(0,35)
0 SameBib(0,36)
0.5 SameBib(0,37)
2.14819e-25 SameBib(0,38)
0 SameBib(0,39)
7.8469e-09 SameBib(0,40)
9.49223e-51 SameBib(0,41)
0 SameBib(0,42)
4.7998e-42 SameBib(0,43)
0 SameBib(0,44)
0 SameBib(0,45)
6.09998e-53 SameBib(0,46)
2.12639e-52 SameBib(0,47)
0 SameBib(0,48)
4.50134e-24 SameBib(0,49)
0 SameBib(0,50)
0 SameBib(0,51)
0 SameBib(0,52)
1 SameBib(0,53)
6.94034e-57 SameBib(0,54)
1 SameBib(0,55)
1 SameBib(0,56)
0 SameBib(0,57)
1 SameBib(0,58)
3.24024e-37 SameBib(0,59)
1 SameBib(0,60)
0 SameBib(0,61)
9.00447e-61 SameBib(0,62)
2.7225e-52 SameBib(0,63)
0 SameBib(0,64)
1 SameBib(0,65)
3.95226e-21 SameBib(0,66)
4.68635e-09 SameBib(0,67)
0 SameBib(0,68)
3.72203e-05 SameBib(0,69)
1.28611e-56 SameBib(0,70)
3.98966e-14 SameBib(0,71)
0 SameBib(0,72)
0 SameBib(0,73)
0.505075 SameBib(0,74)
1.35982e-57 SameBib(0,75)
0.952716 SameBib(0,76)
1 SameBib(0,77)
1 SameBib(0,78)
1 SameBib(0,79)
2.49669e-29 SameBib(0,80)
0.333333 SameBib(0,81)
0 SameBib(0,82)
1 SameBib(0,83)
0 SameBib(0,84)
1 SameBib(0,85)
1 SameBib(0,86)
1 SameBib(0,87)
3.45117e-51 SameBib(0,88)
0 SameBib(0,89)
5.23637e-15 SameBib(0,90)
2.2911e-55 SameBib(0,91)
1 SameBib(0,92)
8.1024e-33 SameBib(0,93)
1 SameBib(0,94)
1 SameBib(0,95)
0 SameBib(0,96)
0 SameBib(0,97)
0 SameBib(0,98)
0.208494 SameBib(1,0)
0.219955 SameBib(1,1)
0.306122 SameBib(1,2)
1 SameBib(1,3)
0.202899 SameBib(1,4)
6.44783e-44 SameBib(1,5)
1 SameBib(1,6)
0.247619 SameBib(1,7)
1 SameBib(1,8)
8.69877e-45 SameBib(1,9)
1 SameBib(1,10)
1.42662e-33 SameBib(1,11)
0.240896 SameBib(1,12)
6.69808e-29 SameBib(1,13)
0.999999 SameBib(1,14)
1 SameBib(1,15)
0.380952 SameBib(1,16)
1 SameBib(1,17)
8.99807e-53 SameBib(1,18)
8.85958e-47 SameBib(1,19)
1 SameBib(1,20)
1 SameBib(1,21)
6.52411e-06 SameBib(1,22)
0.25 SameBib(1,23)
1 SameBib(1,24)
1 SameBib(1,25)
0.190476 SameBib(1,26)
4.73463e-87 SameBib(1,27)
1 SameBib(1,28)
1 SameBib(1,29)
0.178571 SameBib(1,30)
1 SameBib(1,31)
7.45165e-11 SameBib(1,32)
1.11181e-41 SameBib(1,33)
1 SameBib(1,34)
2.70404e-34 SameBib(1,35)
1 SameBib(1,36)
1 SameBib(1,37)
1 SameBib(1,38)
0.997828 SameBib(1,39)
6.03075e-22 SameBib(1,40)
0 SameBib(1,41)
0.285714 SameBib(1,42)
1 SameBib(1,43)
0.219048 SameBib(1,44)
1 SameBib(1,45)
5.53991e-82 SameBib(1,46)
1 SameBib(1,47)
1.27843e-15 SameBib(1,48)
0.238095 SameBib(1,49)
0.174603 SameBib(1,50)
0.178571 SameBib(1,51)
9.77496e-11 SameBib(1,52)
0.333333 SameBib(1,53)
1 SameBib(1,54)
5.52972e-31 SameBib(1,55)
1 SameBib(1,56)
0.190476 SameBib(1,57)
0.285714 SameBib(1,58)
0.142857 SameBib(1,59)
1 SameBib(1,60)
0.2 SameBib(1,61)
9.16423e-33 SameBib(1,62)
1 SameBib(1,63)
6.97298e-24 SameBib(1,64)
0.238095 SameBib(1,65)
1 SameBib(1,66)
1 SameBib(1,67)
1 SameBib(1,68)
1.99196e-19 SameBib(1,69)
0.0833333 SameBib(1,70)
1.66722e-43 SameBib(1,71)
1 SameBib(1,72)
1 SameBib(1,73)
0.365864 SameBib(1,74)
0.190476 SameBib(1,75)
1 SameBib(1,76)
0.214286 SameBib(1,77)
3.75042e-35 SameBib(1,78)
1 SameBib(1,79)
2.54187e-05 SameBib(1,80)
4.07956e-41 SameBib(1,81)
0.333333 SameBib(1,82)
1 SameBib(1,83)
2.87932e-30 SameBib(1,84)
3.75746e-44 SameBib(1,85)
1 SameBib(1,86)
0.208995 SameBib(1,87)
1 SameBib(1,88)
0.221532 SameBib(1,89)
0.979767 SameBib(1,90)
1 SameBib(1,91)
1 SameBib(1,92)
1 SameBib(1,93)
0.047619 SameBib(1,94)
0.25 SameBib(1,95)
1 SameBib(1,96)
5.48528e-08 SameBib(1,97)
1 SameBib(1,98)
0.397683 SameBib(2,0)
1 SameBib(2,1)
0.306122 SameBib(2,2)
0.39881 SameBib(2,3)
7.5045e-06 SameBib(2,4)
0.295918 SameBib(2,5)
0.428571 SameBib(2,6)
1 SameBib(2,7)
0.469388 SameBib(2,8)
1 SameBib(2,9)
0.4 SameBib(2,10)
0.306122 SameBib(2,11)
0.453782 SameBib(2,12)
1.06618e-48 SameBib(2,13)
0.387755 SameBib(2,14)
0 SameBib(2,15)
0.571429 SameBib(2,16)
2.41452e-47 SameBib(2,17)
0.456044 SameBib(2,18)
1 SameBib(2,19)
0.428571 SameBib(2,20)
1 SameBib(2,21)
1 SameBib(2,22)
9.55773e-57 SameBib(2,23)
1.43998e-25 SameBib(2,24)
0.5 SameBib(2,25)
1 SameBib(2,26)
2.23541e-52 SameBib(2,27)
0.493506 SameBib(2,28)
0.285714 SameBib(2,29)
0.357143 SameBib(2,30)
1 SameBib(2,31)
1 SameBib(2,32)
1 SameBib(2,33)
1 SameBib(2,34)
0.5 SameBib(2,35)
1 SameBib(2,36)
0.357143 SameBib(2,37)
0.535714 SameBib(2,38)
1 SameBib(2,39)
0.999977 SameBib(2,40)
1 SameBib(2,41)
0.571429 SameBib(2,42)
1 SameBib(2,43)
1 SameBib(2,44)
1 SameBib(2,45)
1 SameBib(2,46)
0.142857 SameBib(2,47)
1 SameBib(2,48)
1.78313e-69 SameBib(2,49)
1 SameBib(2,50)
2.50516e-47 SameBib(2,51)
0.342857 SameBib(2,52)
0.52381 SameBib(2,53)
1 SameBib(2,54)
0.506494 SameBib(2,55)
1 SameBib(2,56)
0.571429 SameBib(2,57)
0.357143 SameBib(2,58)
1 SameBib(2,59)
1 SameBib(2,60)
9.82004e-52 SameBib(2,61)
0.666667 SameBib(2,62)
0.25 SameBib(2,63)
1 SameBib(2,64)
0.357143 SameBib(2,65)
1 SameBib(2,66)
1 SameBib(2,67)
1.01315e-36 SameBib(2,68)
1 SameBib(2,69)
1 SameBib(2,70)
1 SameBib(2,71)
0.47619 SameBib(2,72)
0.357143 SameBib(2,73)
1 SameBib(2,74)
1 SameBib(2,75)
0.428571 SameBib(2,76)
1 SameBib(2,77)
0.392857 SameBib(2,78)
1 SameBib(2,79)
0.392857 SameBib(2,80)
0.714286 SameBib(2,81)
3.01846e-34 SameBib(2,82)
1 SameBib(2,83)
0.5 SameBib(2,84)
0.369048 SameBib(2,85)
1.92161e-23 SameBib(2,86)
8.63038e-11 SameBib(2,87)
0.5 SameBib(2,88)
0.397516 SameBib(2,89)
0.428571 SameBib(2,90)
0.357143 SameBib(2,91)
1 SameBib(2,92)
0.321429 SameBib(2,93)
0.428571 SameBib(2,94)
0.399351 SameBib(2,95)
1 SameBib(2,96)
0.428571 SameBib(2,97)
1 SameBib(2,98)
0 SameBib(3,0)
1.90429e-32 SameBib(3,1)
0 SameBib(3,2)
0 SameBib(3,3)
0 SameBib(3,4)
2.99046e-42 SameBib(3,5)
4.82679e-33 SameBib(3,6)
0 SameBib(3,7)
1.44081e-47 SameBib(3,8)
1 SameBib(3,9)
2.54229e-36 SameBib(3,10)
9.53174e-25 SameBib(3,11)
1 SameBib(3,12)
0 SameBib(3,13)
1.51514e-06 SameBib(3,14)
1 SameBib(3,15)
1 SameBib(3,16)
1 SameBib(3,17)
0.00233946 SameBib(3,18)
1 SameBib(3,19)
1 SameBib(3,20)
0 SameBib(3,21)
1 SameBib(3,22)
1 SameBib(3,23)
1 SameBib(3,24)
1 SameBib(3,25)
2.0102e-38 SameBib(3,26)
2.93724e-66 SameBib(3,27)
1 SameBib(3,28)
4.2637e-31 SameBib(3,29)
1.24682e-44 SameBib(3,30)
0 SameBib(3,31)
0 SameBib(3,32)
3.4029e-25 SameBib(3,33)
8.06352e-57 SameBib(3,34)
7.08902e-34 SameBib(3,35)
1 SameBib(3,36)
1 SameBib(3,37)
1.36811e-24 SameBib(3,38)
4.77439e-09 SameBib(3,39)
2.75215e-28 SameBib(3,40)
0 SameBib(3,41)
1 SameBib(3,42)
1 SameBib(3,43)
1.7949e-07 SameBib(3,44)
0 SameBib(3,45)
1 SameBib(3,46)
